  -1.1966445409317427e+02	  -7.4730268011855676e+00	
  -1.1670097862781643e+02	  -2.3286882145885109e+01	
  -1.1086367511261693e+02	  -3.8272102732750348e+01	
  -1.0249736516337779e+02	  -5.2003539773784667e+01	
  -9.2007519700443623e+01	  -6.4197050807198266e+01	
  -7.9785111376832461e+01	  -7.4695381395345578e+01	
  -6.6254329966857028e+01	  -8.3376504486854145e+01	
  -5.1699644723418672e+01	  -9.0243292823530837e+01	
  -3.6404162847530060e+01	  -9.5287346598512642e+01	
  -2.0622720057847935e+01	  -9.8512208131698486e+01	
  -4.5887302224815532e+00	  -9.9926860596698447e+01	
   1.1503084739051468e+01	  -9.9539491888780148e+01	
   2.7436812099522477e+01	  -9.7351101909158842e+01	
   4.3037943297210489e+01	  -9.3347229013008260e+01	
   5.8040719899405083e+01	  -8.7524896591225541e+01	
   7.2200764682264833e+01	  -7.9874248298046169e+01	
   8.5216479128494640e+01	  -7.0406319185214485e+01	
   9.6734168592453301e+01	  -5.9175472506251019e+01	
   1.0637416683963616e+02	  -4.6282170712000500e+01	
   1.1370476426215259e+02	  -3.1963809657784893e+01	
   1.1834293674699052e+02	  -1.6561109943718041e+01	
   1.1999802853483259e+02	  -5.7321447017826810e-01	
   1.1855910915903536e+02	   1.5450135638921330e+01	
   1.1412148555072338e+02	   3.0915280019398228e+01	
   1.0696972696819073e+02	   4.5318912476154352e+01	
   9.7483291134167615e+01	   5.8315520790227851e+01	
   8.6091956828248641e+01	   6.9662753924627268e+01	
   7.3175382459072409e+01	   7.9255929509899204e+01	
   5.9087913935273583e+01	   8.7036943093378866e+01	
   4.4132370464206126e+01	   9.2991688238228477e+01	
   2.8554606579894735e+01	   9.7127616663834743e+01	
   1.2621771991838806e+01	   9.9445304871384067e+01	
  -3.4649811285081094e+00	   9.9958303479845085e+01	
  -1.9514173046858524e+01	   9.8668908513020853e+01	
  -3.5307162167868391e+01	   9.5573576585920918e+01	
  -5.0637138621314456e+01	   9.0660692941401720e+01	
  -6.5250694482745274e+01	   8.3924349489086154e+01	
  -7.8866011379190610e+01	   7.5370161762617826e+01	
  -9.1183707178300011e+01	   6.5008180816500783e+01	
  -1.0181514765616369e+02	   5.2926020877636262e+01	
  -1.1034964315258435e+02	   3.9290197534369639e+01	
  -1.1637908392500501e+02	   2.4379932902227392e+01	
  -1.1955378450631927e+02	   8.6157402071477627e+00	
